season,match_day,date,home_team,away_team,result
2021-2022,2,"Friday 20 August
21:30 GMT+3",RB Leipzig,VfB Stuttgart,4-0
2021-2022,3,"Friday 27 August
21:30 GMT+3",Borussia Dortmund,TSG Hoffenheim,3-2
2021-2022,4,"Saturday 11 September
16:30 GMT+3",SpVgg Greuther Fürth,VfL Wolfsburg,0-2
2021-2022,5,"Friday 17 September
21:30 GMT+3",Hertha BSC,SpVgg Greuther Fürth,2-1
2021-2022,6,"Friday 24 September
21:30 GMT+3",SpVgg Greuther Fürth,FC Bayern München,1-3
2021-2022,7,"Friday 1 October
21:30 GMT+3",1. FC Köln,SpVgg Greuther Fürth,3-1
2021-2022,8,"Friday 15 October
21:30 GMT+3",TSG Hoffenheim,1. FC Köln,5-0
2021-2022,9,"Friday 22 October
21:30 GMT+3",1. FSV Mainz 05,FC Augsburg,4-1
2021-2022,10,"Friday 29 October
21:30 GMT+3",TSG Hoffenheim,Hertha BSC,2-0
2021-2022,11,"Friday 5 November
22:30 GMT+3",1. FSV Mainz 05,Borussia Mönchengladbach,1-1
2021-2022,12,"Friday 19 November
22:30 GMT+3",FC Augsburg,FC Bayern München,2-1
2021-2022,13,"Friday 26 November
22:30 GMT+3",VfB Stuttgart,1. FSV Mainz 05,2-1
2021-2022,14,"Friday 3 December
22:30 GMT+3",1. FC Union Berlin,RB Leipzig,2-1
2021-2022,15,"Friday 10 December
22:30 GMT+3",1. FC Köln,FC Augsburg,0-2
2021-2022,16,"Tuesday 14 December
20:30 GMT+3",VfB Stuttgart,FC Bayern München,0-5
2021-2022,17,"Friday 17 December
22:30 GMT+3",FC Bayern München,VfL Wolfsburg,4-0
2021-2022,18,"Friday 7 January
22:30 GMT+3",FC Bayern München,Borussia Mönchengladbach,1-2
2021-2022,19,"Friday 14 January
22:30 GMT+3",Borussia Dortmund,Sport-Club Freiburg,5-1
2021-2022,20,"Friday 21 January
22:30 GMT+3",Eintracht Frankfurt,DSC Arminia Bielefeld,0-2
2021-2022,21,"Friday 4 February
22:30 GMT+3",Hertha BSC,VfL Bochum 1848,1-1
2021-2022,22,"Friday 11 February
22:30 GMT+3",RB Leipzig,1. FC Köln,3-1
2021-2022,23,"Friday 18 February
22:30 GMT+3",1. FSV Mainz 05,Bayer 04 Leverkusen,3-2
2021-2022,24,"Friday 25 February
22:30 GMT+3",TSG Hoffenheim,VfB Stuttgart,2-1
2021-2022,25,"Friday 4 March
22:30 GMT+3",DSC Arminia Bielefeld,FC Augsburg,0-1
2021-2022,26,"Saturday 12 March
17:30 GMT+3",TSG Hoffenheim,FC Bayern München,1-1
2021-2022,27,"Friday 18 March
22:30 GMT+3",VfL Bochum 1848,Borussia Mönchengladbach,0-2
2021-2022,28,"Friday 1 April
21:30 GMT+3",1. FC Union Berlin,1. FC Köln,1-0
2021-2022,29,"Friday 8 April
21:30 GMT+3",VfB Stuttgart,Borussia Dortmund,0-2
2021-2022,30,"Saturday 16 April
16:30 GMT+3",FC Augsburg,Hertha BSC,0-1
2021-2022,31,"Friday 22 April
21:30 GMT+3",VfL Wolfsburg,1. FSV Mainz 05,5-0
2021-2022,32,"Friday 29 April
21:30 GMT+3",1. FC Union Berlin,SpVgg Greuther Fürth,1-1
2021-2022,33,"Friday 6 May
21:30 GMT+3",VfL Bochum 1848,DSC Arminia Bielefeld,2-1
2021-2022,34,"Saturday 14 May
16:30 GMT+3",DSC Arminia Bielefeld,RB Leipzig,1-1
2022-2023,1,"Friday 5 August
21:30 GMT+3",Eintracht Frankfurt,FC Bayern München,1-6
2022-2023,2,"Friday 12 August
21:30 GMT+3",Sport-Club Freiburg,Borussia Dortmund,1-3
2022-2023,3,"Friday 19 August
21:30 GMT+3",Borussia Mönchengladbach,Hertha BSC,1-0
2022-2023,4,"Friday 26 August
21:30 GMT+3",Sport-Club Freiburg,VfL Bochum 1848,1-0
2022-2023,5,"Friday 2 September
21:30 GMT+3",Borussia Dortmund,TSG Hoffenheim,1-0
2022-2023,6,"Friday 9 September
21:30 GMT+3",SV Werder Bremen,FC Augsburg,0-1
2022-2023,7,"Friday 16 September
21:30 GMT+3",1. FSV Mainz 05,Hertha BSC,1-1
2022-2023,8,"Friday 30 September
21:30 GMT+3",FC Bayern München,Bayer 04 Leverkusen,4-0
2022-2023,9,"Friday 7 October
21:30 GMT+3",TSG Hoffenheim,SV Werder Bremen,1-2
2022-2023,10,"Friday 14 October
21:30 GMT+3",FC Schalke 04,TSG Hoffenheim,0-3
2022-2023,11,"Friday 21 October
21:30 GMT+3",1. FSV Mainz 05,1. FC Köln,5-0
2022-2023,12,"Friday 28 October
21:30 GMT+3",SV Werder Bremen,Hertha BSC,1-0
2022-2023,13,"Friday 4 November
22:30 GMT+3",Borussia Mönchengladbach,VfB Stuttgart,3-1
2022-2023,14,"Tuesday 8 November
20:30 GMT+3",VfL Wolfsburg,Borussia Dortmund,2-0
2022-2023,15,"Friday 11 November
22:30 GMT+3",Borussia Mönchengladbach,Borussia Dortmund,4-2
2022-2023,16,"Friday 20 January
22:30 GMT+3",RB Leipzig,FC Bayern München,1-1
2022-2023,17,"Tuesday 24 January
20:30 GMT+3",FC Schalke 04,RB Leipzig,1-6
2022-2023,18,"Friday 27 January
22:30 GMT+3",RB Leipzig,VfB Stuttgart,2-1
2022-2023,19,"Friday 3 February
22:30 GMT+3",FC Augsburg,Bayer 04 Leverkusen,1-0
2022-2023,20,"Friday 10 February
22:30 GMT+3",FC Schalke 04,VfL Wolfsburg,0-0
2022-2023,21,"Friday 17 February
22:30 GMT+3",FC Augsburg,TSG Hoffenheim,1-0
2022-2023,22,"Friday 24 February
22:30 GMT+3",1. FSV Mainz 05,Borussia Mönchengladbach,4-0
2022-2023,23,"Friday 3 March
22:30 GMT+3",Borussia Dortmund,RB Leipzig,2-1
2022-2023,24,"Friday 10 March
22:30 GMT+3",1. FC Köln,VfL Bochum 1848,0-2
2022-2023,25,"Friday 17 March
22:30 GMT+3",Borussia Mönchengladbach,SV Werder Bremen,2-2
2022-2023,26,"Friday 31 March
21:30 GMT+3",Eintracht Frankfurt,VfL Bochum 1848,1-1
2022-2023,27,"Saturday 8 April
16:30 GMT+3",FC Augsburg,1. FC Köln,1-3
2022-2023,28,"Friday 14 April
21:30 GMT+3",FC Schalke 04,Hertha BSC,5-2
2022-2023,29,"Friday 21 April
21:30 GMT+3",FC Augsburg,VfB Stuttgart,1-1
2022-2023,30,"Friday 28 April
21:30 GMT+3",VfL Bochum 1848,Borussia Dortmund,1-1
